SampleID	Count	Purity	ASV	Taxonomy	Count2	Purity2	ASV2	Taxonomy2
L2P01C8	50	87.72	ASV_156	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Fictibacillus;Unassigned	6	10.53	ASV_447	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Fictibacillus;Unassigned
L2P36H8	33	84.62	ASV_156	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Fictibacillus;Unassigned	6	15.38	ASV_3	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Piscinibacter;Piscinibacter_aquaticus
L2P22G1	52	75.36	ASV_156	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Fictibacillus;Unassigned	17	24.64	ASV_447	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Fictibacillus;Unassigned
L2P37G2	29	70.73	ASV_156	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Fictibacillus;Unassigned	12	29.27	ASV_447	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Fictibacillus;Unassigned
L1P01B4	28	68.29	ASV_156	Firmicutes;Bacilli;Bacillales;Bacillaceae_1;Fictibacillus;Unassigned	9	21.95	ASV_19	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_icense
L2P35C4	103	99.04	ASV_157	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium;Curtobacterium_citreum	1	0.96	ASV_14	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_manausense
L1P33C9	144	92.9	ASV_157	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium;Curtobacterium_citreum	4	2.58	ASV_2	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Unassigned;Unassigned
L2P47B2	17	62.96	ASV_157	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Curtobacterium;Curtobacterium_citreum	5	18.52	ASV_60	Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides;Nocardioides_kribbensis
L1P26E6	233	100	ASV_158	Actinobacteria;Actinobacteria;Actinomycetales;Demequinaceae;Lysinimicrobium;Lysinimicrobium_mangrovi	0	NA	NA	NA
L2P10E4	102	100	ASV_159	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	0	NA	NA	NA
L2P20C3	75	100	ASV_159	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	0	NA	NA	NA
L2P41E6	50	100	ASV_159	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	0	NA	NA	NA
L2P44D11	77	98.72	ASV_159	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	1	1.28	ASV_7	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Microbacterium_pygmaeum
L2P08H2	43	95.56	ASV_159	Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Unassigned;Unassigned	2	4.44	ASV_20	Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Microbacterium;Microbacterium_testaceum
L1P24H11	170	100	ASV_160	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Aquabacterium;Unassigned	0	NA	NA	NA
L1P03D12	154	100	ASV_160	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Aquabacterium;Unassigned	0	NA	NA	NA
L1P35C1	21	95.45	ASV_160	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Aquabacterium;Unassigned	1	4.55	ASV_394	Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Aquabacterium;Unassigned
L2P09C12	66	100	ASV_161	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Unassigned	0	NA	NA	NA
L2P16D11	137	99.28	ASV_161	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Unassigned	1	0.72	ASV_13	Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_icense
L2P15H12	104	100	ASV_162	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	0	NA	NA	NA
